gene_id	transcript_id(s)	Control-1A	Control-2A	Control-3A	NB29-1A	NB29-2A	NB29-3A
HORVU.RGT_PLANET.PROJ.5HG00761500	transcript32965	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761510	transcript32966	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761520	transcript32967	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761530	transcript32968	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761540	transcript32973	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761550	transcript32974	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761560	transcript32983	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761570	transcript32984	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761580	transcript32989	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761590	transcript32990	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761600	transcript32998	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761610	transcript33005	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761620	transcript33012	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761630	transcript33014	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761640	transcript33016	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761650	transcript33018	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761660	transcript33019	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761670	transcript33023	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761680	transcript33024	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761690	transcript33027	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761700	transcript33028	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761710	transcript33029	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761720	transcript33030	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761730	transcript33031	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761740	transcript33032	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761750	transcript33034	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761760	transcript33037	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761770	transcript33043	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761780	transcript33044	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761790	transcript33045	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761800	transcript33046	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761810	transcript33048	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761820	transcript33049	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761830	transcript33051	0.00	0.00	0.00	1.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761840	transcript33052	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761850	transcript33053	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761860	transcript33056	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761870	transcript33057	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761880	transcript33061	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761900	transcript33068	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761910	transcript33087	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761920	transcript33088	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761930	transcript33089	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761940	transcript33092	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761950	transcript33093	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761960	transcript33097	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761970	transcript33107	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761980	transcript33112	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00761990	transcript33113	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762000	transcript33115	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762010	transcript33117	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762020	transcript33133	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762030	transcript33135	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762040	transcript33140	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762050	transcript33142	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762060	transcript33144	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762070	transcript33146	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762090	transcript33149	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762100	transcript33152	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762110	transcript33153	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762130	transcript33161	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762140	transcript33165	1.00	1.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762150	transcript33170	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762160	transcript33172	0.00	0.00	0.00	4.00	2.00	2.00
HORVU.RGT_PLANET.PROJ.5HG00762170	transcript33173	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762180	transcript33174	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762190	transcript33176	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762200	transcript33177	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762210	transcript33183	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762220	transcript33184	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762230	transcript33185	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762240	transcript33186	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762250	transcript33187	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762260	transcript33188	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762270	transcript33189	0.00	0.00	0.02	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762280	transcript33190	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762290	transcript33191	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762300	transcript33192	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762310	transcript33193	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762320	transcript33194	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762330	transcript33195	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762340	transcript33196	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762350	transcript33197	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762360	transcript33198	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762370	transcript33199	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762380	transcript33200	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762390	transcript33201	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762400	transcript33202	0.00	0.00	0.98	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762410	transcript33203	0.00	0.00	0.00	0.00	1.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762420	transcript33204	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762430	transcript33205	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762440	transcript33206	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762450	transcript33207	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762460	transcript33208	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762470	transcript33209	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762480	transcript33210	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762490	transcript33211	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762500	transcript33212	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762510	transcript33213	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762520	transcript33214	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762530	transcript33215	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762540	transcript33216	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762550	transcript33217	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762560	transcript33218	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762570	transcript33219	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762580	transcript33220	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762590	transcript33221	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762600	transcript33222	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762610	transcript33223	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762620	transcript33224	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762630	transcript33225	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762640	transcript33226	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762650	transcript33227	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762660	transcript33229	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762670	transcript33230	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762680	transcript33231	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762690	transcript33232	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762700	transcript33233	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762710	transcript33234	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762720	transcript33236	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762730	transcript33237	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762740	transcript33238	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762750	transcript33239	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762760	transcript33240	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762770	transcript33241	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762780	transcript33242	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762790	transcript33243	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762800	transcript33244	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762810	transcript33245	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762820	transcript33246	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762830	transcript33247	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762840	transcript33248	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762850	transcript33249	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762860	transcript33251	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762870	transcript33252	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762880	transcript33253	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762890	transcript33254	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762900	transcript33255	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762910	transcript33256	1.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762920	transcript33257	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762930	transcript33258	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762940	transcript33259	1.00	1.00	0.00	0.00	1.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762950	transcript33260	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762960	transcript33261	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762970	transcript33263	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762980	transcript33264	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00762990	transcript33265	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763000	transcript33268	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763010	transcript33269	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763020	transcript33270	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763030	transcript33271	0.00	0.00	1.00	0.00	1.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763040	transcript33272	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763050	transcript33273	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763060	transcript33274	0.00	0.00	0.00	1.00	0.00	1.00
HORVU.RGT_PLANET.PROJ.5HG00763070	transcript33275	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763080	transcript33276	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763090	transcript33277	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763100	transcript33282	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763110	transcript33284	1.00	0.00	0.00	0.00	1.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763120	transcript33287	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763130	transcript33292	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763140	transcript33294	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763150	transcript33300	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763160	transcript33304	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763170	transcript33309	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763180	transcript33310	0.00	0.00	3.00	6.91	1.79	7.27
HORVU.RGT_PLANET.PROJ.5HG00763190	transcript33311	2.00	3.00	4.24	6.01	6.00	8.00
HORVU.RGT_PLANET.PROJ.5HG00763200	transcript33312	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763210	transcript33313	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763220	transcript33316	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763230	transcript33320	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763240	transcript33325	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763250	transcript33330	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763260	transcript33340	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763270	transcript33342	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763280	transcript33343	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763300	transcript33357	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763310	transcript33362	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763320	transcript33366	0.00	0.00	1.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763330	transcript33374	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763340	transcript33383	171.00	93.00	172.00	33.00	25.00	42.00
HORVU.RGT_PLANET.PROJ.5HG00763350	transcript33385	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763360	transcript33386	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763370	transcript33388	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763380	transcript33390	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763390	transcript33391	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763400	transcript33393	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763410	transcript33394	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763420	transcript33395	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763430	transcript33396	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763440	transcript33397	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763450	transcript33407	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763460	transcript33408	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763470	transcript33417	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763480	transcript33418	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763490	transcript33419	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763500	transcript33420	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763510	transcript33424	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763520	transcript33427	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763530	transcript33431	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763540	transcript33435	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763550	transcript33442	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763560	transcript33443	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763570	transcript33444	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763580	transcript33448	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763590	transcript33451	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763600	transcript33455	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763610	transcript33457	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763620	transcript33458	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763630	transcript33460	72.00	104.00	95.00	27.00	16.00	27.00
HORVU.RGT_PLANET.PROJ.5HG00763640	transcript33461	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763650	transcript33464	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763660	transcript33466	0.00	1.00	0.00	0.00	2.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763670	transcript33471	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763680	transcript33472	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763690	transcript33478	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763700	transcript33483	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763710	transcript33491	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763720	transcript33492	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763730	transcript33499	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763740	transcript33502	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763750	transcript33503	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763760	transcript33504	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763770	transcript33520	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763780	transcript33521	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763790	transcript33526	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763800	transcript33529	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763810	transcript33530	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763820	transcript33531	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763830	transcript33534	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763840	transcript33536	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763850	transcript33537	1.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763860	transcript33540	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763870	transcript33542	2.00	1.00	2.00	0.00	1.00	1.00
HORVU.RGT_PLANET.PROJ.5HG00763880	transcript33548	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763890	transcript33550	0.00	0.00	4.00	3.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763900	transcript33557	10.16	2.82	2.80	4.50	5.90	5.51
HORVU.RGT_PLANET.PROJ.5HG00763910	transcript33558	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763920	transcript33562	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763930	transcript33565	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763940	transcript33568	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763950	transcript33569	1.00	0.00	1.02	0.00	1.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763960	transcript33573	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763970	transcript33577	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763980	transcript33578	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00763990	transcript33587	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00764000	transcript33588	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00764010	transcript33594	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.5HG00764020	transcript33595	0.00	0.00	0.00	0.00	0.00	0.00
