gene_id	transcript_id(s)	Control-1A	Control-2A	Control-3A	NB29-1A	NB29-2A	NB29-3A
HORVU.RGT_PLANET.PROJ.1HG00002310	transcript224	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002320	transcript225	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002360	transcript230	0.00	0.00	0.00	0.00	5.00	1.00
HORVU.RGT_PLANET.PROJ.1HG00002370	transcript231	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002390	transcript232	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002400	transcript233	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002430	transcript234	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002440	transcript235	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002470	transcript238	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002500	transcript239	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002530	transcript241	2.00	0.00	0.00	0.00	0.00	2.00
HORVU.RGT_PLANET.PROJ.1HG00002540	transcript242	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002550	transcript243	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002560	transcript245	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002590	transcript246	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002600	transcript247	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002620	transcript248	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002630	transcript249	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002680	transcript253	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002700	transcript255	0.00	1.00	2.00	0.00	1.00	2.00
HORVU.RGT_PLANET.PROJ.1HG00002770	transcript262	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002790	transcript263	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002800	transcript264	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002810	transcript265	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002840	transcript268	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002850	transcript269	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002860	transcript270	169.00	182.00	192.00	103.00	70.00	63.00
HORVU.RGT_PLANET.PROJ.1HG00002890	transcript272	1.00	3.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002930	transcript275	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002970	transcript278	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002980	transcript279	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003050	transcript284	0.00	0.00	0.00	0.00	7.00	35.00
HORVU.RGT_PLANET.PROJ.1HG00003070	transcript285	0.00	0.00	0.00	0.00	2.00	1.00
HORVU.RGT_PLANET.PROJ.1HG00003150	transcript294	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003160	transcript295	1.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003180	transcript298	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003190	transcript299	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003200	transcript300	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003210	transcript301	0.00	0.00	0.00	3.00	18.00	6.00
HORVU.RGT_PLANET.PROJ.1HG00003220	transcript302	4.00	7.00	1.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003240	transcript303	0.00	0.00	0.00	0.00	1.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003270	transcript305	0.00	0.00	0.00	0.00	1.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003290	transcript306	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003300	transcript307	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003340	transcript311	9.00	2.00	6.00	6.00	1.00	4.00
HORVU.RGT_PLANET.PROJ.1HG00003420	transcript317	22.00	14.00	34.00	4.00	5.00	2.00
HORVU.RGT_PLANET.PROJ.1HG00003460	transcript319	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003470	transcript320	27.00	42.00	46.00	56.00	35.00	42.00
HORVU.RGT_PLANET.PROJ.1HG00003490	transcript321	37.00	8.00	5.00	2.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003500	transcript322	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003520	transcript323	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003540	transcript325	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003590	transcript330	1.00	0.00	0.00	0.00	2.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003620	transcript332	4.00	0.00	1.00	69.00	78.00	79.00
HORVU.RGT_PLANET.PROJ.1HG00003630	transcript333	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00003640	transcript334	0.00	0.00	0.00	0.00	0.00	1.00
